start,image,end,size,far,insns,ncalls,ncallers,ints,sets_ds,strings
0645:0470,068c0,0645:06a8,568,1,202,16,0,,0,"THE DUEL: TEST DRIVE II TOP SCORES | rear | logS | %ld   | Your Score:  %ld"
0645:06a8,06af8,0645:06de,54,0,23,1,1,,0,""
06b3:0008,06b38,06c9:0000,344,0,122,1,1,,0,""
06c9:0002,06c92,06c9:0083,129,1,47,2,1,,0,"rcfArcfarcfBrcfblcfAlcfalcfBlcfbmtn0mtn1mtn2clo1clo2clo3"
06c9:0083,06d13,06c9:0094,17,1,5,1,1,,0,""
06c9:0094,06d24,06c9:00aa,22,1,6,2,2,,0,""
06c9:00aa,06d3a,06c9:00e7,61,1,15,4,2,,1,""
06c9:00e7,06d77,06c9:0201,282,1,109,7,2,,1,""
06c9:0201,06e91,06c9:0338,311,1,106,0,2,,0,""
06c9:0338,06fc8,06c9:05f8,704,0,252,1,1,,0,""
06c9:05f8,07288,06c9:06c3,203,0,85,1,1,,0,""
06c9:06c3,07353,06c9:0746,131,0,62,0,2,,0,""
06c9:0746,073d6,06c9:088e,328,0,113,1,1,,0,""
06c9:088e,0751e,06c9:08cb,61,0,30,0,2,,0,""
06c9:08cb,0755b,06c9:0919,78,0,31,0,1,,0,""
06c9:0919,075a9,06c9:0b0d,500,0,200,2,1,,0,""
06c9:0b0d,0779d,06c9:0bb8,171,0,56,1,1,,0,""
06c9:0bb8,07848,06c9:0c17,95,0,33,1,1,,0,""
06c9:0c17,078a7,06c9:0d01,234,0,90,0,2,,0,""
06c9:0d01,07991,06c9:0d13,18,0,11,1,2,,0,""
06c9:0d13,079a3,06c9:1a38,3365,0,1109,6,1,,1,""
06c9:1a37,086c7,06c9:1ad6,159,0,57,3,1,,0,""
06c9:1ad6,08766,06c9:1b2c,86,0,36,1,1,,0,""
06c9:1b2c,087bc,06c9:1c02,214,1,71,22,1,,1,""
06c9:1c8f,0891f,06c9:1e31,418,1,128,6,1,,0,""
06c9:1e31,08ac1,06c9:1e59,40,1,9,2,1,,0,""
06c9:1e59,08ae9,06c9:1ee1,136,1,53,1,1,,0,""
06c9:1ee2,08b72,06c9:1f60,126,1,42,2,1,,0,"rcfCrcfcrcfDrcfdlcfClcfclcfDlcfdrmt0rmt1rmt2"
06c9:1f60,08bf0,06c9:1f71,17,1,5,1,1,,0,""
06c9:1f71,08c01,06c9:1f99,40,1,15,4,2,,1,""
06c9:1f99,08c29,06c9:2089,240,1,91,9,2,,1,""
06c9:2089,08d19,06c9:21c3,314,1,108,0,2,,0,""
06c9:21c3,08e53,06c9:2477,692,0,260,1,1,,0,""
06c9:2477,09107,06c9:2542,203,0,71,1,1,,0,""
06c9:2542,091d2,06c9:268a,328,0,116,1,1,,0,""
06c9:268a,0931a,06c9:26d8,78,0,35,0,1,,0,""
06c9:26d8,09368,06c9:284f,375,0,156,2,1,,0,""
06c9:284f,094df,06c9:28f9,170,0,54,1,1,,0,""
06c9:28f9,09589,06c9:2958,95,0,32,1,1,,0,""
06c9:2958,095e8,06c9:34dc,2948,0,977,7,1,,1,""
06c9:34dc,0a16c,06c9:3532,86,0,36,1,1,,0,""
06c9:3532,0a1c2,06c9:3643,273,1,94,19,0,,0,""
06c9:3643,0a2d3,06c9:36e0,157,1,54,9,0,,0,""
06c9:36e0,0a370,06c9:3713,51,0,20,2,0,,0,"You missed the gas station | Hope you enjoy the walk. | and you're out of gas."
06c9:3713,0a3a3,06c9:371f,12,0,4,1,0,,0,"Too far left to reach pump."
06c9:371f,0a3af,06c9:372b,12,0,4,1,0,,0,"Engine has lost all power..."
06c9:372b,0a3bb,06c9:3737,12,0,4,1,0,,0,"Suspension completely gone..."
06c9:3737,0a3c7,06c9:3743,12,0,4,1,0,,0,"Steering completely shot..."
06c9:3743,0a3d3,06c9:374f,12,0,4,1,0,,0,"Car took too much damage..."
06c9:374f,0a3df,06c9:375f,16,1,6,1,0,,0,"Fill 'er up..."
06c9:375f,0a3ef,06c9:3788,41,0,14,2,0,,0,"Lives left:      | Careful, it's your last life!"
06c9:3788,0a418,06c9:37cf,71,0,30,4,8,,0,""
06c9:37d0,0a460,06c9:38d4,260,1,82,6,1,,0,"dgt0dgt1dgt2dgt3dgt4dgt5dgt6dgt7dgt8dgt9spdotach"
06c9:38d4,0a564,06c9:38f2,30,1,8,1,1,,0,""
06c9:38f2,0a582,06c9:391f,45,1,16,0,1,,0,""
06c9:391f,0a5af,06c9:3a5f,320,1,119,8,2,,0,""
06c9:3a5f,0a6ef,06c9:3a91,50,0,15,1,1,,0,""
06c9:3a91,0a721,06c9:3ab8,39,0,13,1,1,,0,""
06c9:3ab8,0a748,06c9:3af9,65,0,29,1,1,,0,""
06c9:3af9,0a789,06c9:3b95,156,0,64,2,1,,0,""
06c9:3b95,0a825,06c9:3c3a,165,1,49,6,1,,0,""
06c9:3c3a,0a8ca,06c9:3cef,181,1,73,5,1,,0,""
06c9:3cef,0a97f,06c9:3ea4,437,1,157,10,1,,0,""
06c9:3ea4,0ab34,06c9:3ed7,51,0,26,1,1,,0,""
06c9:3ed7,0ab67,06c9:3efc,37,0,15,1,1,,0,""
06c9:3efc,0ab8c,06c9:3f0d,17,1,5,1,4,,0,""
06c9:3f0d,0ab9d,06c9:3f40,51,1,19,4,1,,0,""
06c9:3f40,0abd0,06c9:3ff9,185,1,66,2,1,,0,""
06c9:3ff9,0ac89,06c9:403b,66,1,22,1,1,,0,""
06c9:403b,0accb,06c9:412c,241,1,91,11,0,,1,""
06c9:412c,0adbc,06c9:420a,222,0,74,0,1,,0,""
06c9:420a,0ae9a,06c9:4281,119,0,37,8,1,,0,""
06c9:4281,0af11,06c9:43c3,322,0,112,2,1,,0,""
06c9:43c3,0b053,06c9:4441,126,0,41,2,1,,0,""
06c9:4441,0b0d1,06c9:448a,73,0,27,0,2,,0,""
06c9:448a,0b11a,06c9:44a6,28,0,14,0,1,,0,""
06c9:44a6,0b136,06c9:44bf,25,0,12,0,1,,0,""
06c9:44d8,0b168,06c9:44ea,18,0,6,0,1,,0,""
06c9:44ea,0b17a,06c9:4588,158,0,55,2,1,,0,""
06c9:4588,0b218,06c9:45bf,55,0,19,0,2,,0,""
06c9:45bf,0b24f,06c9:45fc,61,0,25,0,1,,0,""
06c9:45fc,0b28c,06c9:4612,22,0,10,1,2,,0,""
06c9:4612,0b2a2,06c9:4639,39,0,12,0,3,,0,""
06c9:4639,0b2c9,06c9:4674,59,0,22,0,1,,0,""
06c9:4674,0b304,06c9:4929,693,0,243,6,1,,0,""
06c9:4a2e,0b6be,06c9:4afa,204,0,72,3,2,,0,""
06c9:4afa,0b78a,06c9:4b5d,99,0,32,0,1,,0,""
06c9:4b5d,0b7ed,06c9:4b9a,61,0,23,2,1,,0,""
06c9:4b9a,0b82a,06c9:4c85,235,0,85,1,1,,0,""
06c9:4c85,0b915,06c9:4d26,161,0,66,2,1,,0,""
06c9:4d26,0b9b6,06c9:4d3f,25,0,13,0,2,,0,""
06c9:4d3f,0b9cf,06c9:4f92,595,0,181,3,1,,0,""
06c9:4f92,0bc22,06c9:5022,144,0,57,0,1,,0,""
06c9:5022,0bcb2,06c9:50a1,127,0,46,0,1,,0,""
06c9:50a1,0bd31,06c9:5299,504,0,169,5,1,,0,""
06c9:5299,0bf29,06c9:52fd,100,0,44,0,3,,0,""
06c9:52fd,0bf8d,06c9:5334,55,0,26,0,3,,0,""
06c9:5334,0bfc4,06c9:535b,39,0,21,0,3,,0,""
06c9:535b,0bfeb,06c9:53a6,75,0,27,0,3,,0,""
06c9:53a6,0c036,06c9:5427,129,0,44,0,1,,0,""
06c9:5427,0c0b7,06c9:5446,31,0,12,0,1,,0,""
06c9:5446,0c0d6,06c9:56ed,679,1,121,1,1,,0,""
06c9:56ed,0c37d,06c9:57ab,190,0,62,4,1,,0,""
06c9:5880,0c510,06c9:595f,223,0,73,5,1,,0,""
06c9:595f,0c5ef,06c9:5a25,198,0,62,1,1,,0,""
06c9:5a25,0c6b5,06c9:5a6f,74,0,34,0,1,,0,""
06c9:5a6f,0c6ff,06c9:5ada,107,0,36,2,1,,0,""
06c9:5ada,0c76a,06c9:5b5a,128,1,41,2,1,,0,""
06c9:5b5a,0c7ea,06c9:5c30,214,0,75,0,1,,0,""
06c9:5c30,0c8c0,06c9:5c5a,42,0,18,0,1,,0,""
06c9:5c5a,0c8ea,06c9:5c97,61,0,25,0,2,,0,""
06c9:5c98,0c928,06c9:5ca6,14,1,6,1,7,,0,""
06c9:5ca6,0c936,06c9:5d00,90,1,38,1,1,,1,""
06c9:5d00,0c990,06c9:5d01,1,1,1,0,3,,0,""
06c9:5d01,0c991,06c9:5d1e,29,1,17,0,2,,1,""
06c9:5d2e,0c9be,06c9:5d4e,32,1,10,0,1,1a,0,"    "
06c9:5d4e,0c9de,06c9:5d5b,13,1,7,0,1,21,0,""
06c9:5d5b,0c9eb,06c9:5d74,25,1,13,0,1,21,0,""
06c9:5d74,0ca04,06c9:5d83,15,1,9,0,1,11,0,""
06c9:5d83,0ca13,06c9:5d8d,10,1,4,0,1,,0,""
06c9:5d8d,0ca1d,06c9:5d9e,17,1,8,0,1,,0,""
06c9:5d9e,0ca2e,06c9:5dfb,93,1,37,0,0,,1,""
06c9:5dfb,0ca8b,06c9:5e1c,33,1,12,0,7,,0,""
06c9:5e1c,0caac,06c9:5e8a,110,1,54,1,2,21,1,"%s FILE ERROR"
06c9:5e8a,0cb1a,06c9:5ef3,105,1,54,0,2,21,1,""
06c9:5ef4,0cb84,06c9:5f4e,90,1,49,0,6,21,1,""
06c9:5f4e,0cbde,06c9:5f63,21,0,12,0,1,21,0,""
06c9:5f64,0cbf4,06c9:5fbb,87,1,40,0,1,10,0,""
06c9:5fbc,0cc4c,06c9:601c,96,1,44,1,1,10,0,""
06c9:601c,0ccac,06c9:603b,31,0,8,0,2,,0,""
06c9:6059,0cce9,06c9:6079,32,0,11,0,2,,0,""
06c9:607a,0cd0a,06c9:610a,144,1,52,0,0,,0,""
06c9:610a,0cd9a,06c9:614c,66,1,30,0,3,,0,""
06c9:614c,0cddc,06c9:6180,52,1,19,1,4,,0,""
06c9:6180,0ce10,06c9:61bf,63,1,28,0,1,,0,""
06c9:642e,0d0be,06c9:645a,44,1,17,1,4,10,0,""
06c9:645a,0d0ea,06c9:646f,21,1,7,1,0,,0,""
06c9:646f,0d0ff,06c9:6488,25,1,10,1,0,,0,"KEYBOARD ON"
06c9:6488,0d118,06c9:64c7,63,1,24,1,0,,0,"SOUND ON | SOUND OFF"
06c9:64c7,0d157,06c9:6508,65,1,24,1,0,,0,"MUSIC ON | MUSIC OFF"
06c9:6508,0d198,06c9:6518,16,1,4,1,0,,0,""
06c9:6518,0d1a8,06c9:6528,16,1,4,1,0,,0,""
06c9:6528,0d1b8,06c9:6585,93,1,42,0,2,,0,""
06c9:6585,0d215,06c9:65b4,47,1,21,0,1,,0,""
06c9:65c5,0d255,06c9:6601,60,1,24,2,0,16,0,""
06c9:6601,0d291,06c9:6620,31,1,15,1,1,16,0,""
06c9:6620,0d2b0,06c9:6686,102,1,35,1,2,,0,""
06c9:6686,0d316,06c9:680a,388,1,136,0,3,,0,""
06c9:680a,0d49a,06c9:6828,30,1,6,0,1,,0,""
06c9:6828,0d4b8,06c9:6839,17,1,8,0,2,,0,""
06c9:6860,0d4f0,06c9:68c4,100,1,32,0,1,,0,""
06c9:68c4,0d554,06c9:6907,67,1,22,0,3,,0,""
06c9:6907,0d597,06c9:69b7,176,0,74,0,0,,1,""
06c9:69f2,0d682,06c9:69fe,12,1,6,0,0,,0,""
06c9:69fe,0d68e,06c9:6a03,5,1,2,0,11,,0,""
06c9:6a03,0d693,06c9:6a17,20,1,11,0,1,16,0,""
06c9:6a17,0d6a7,06c9:6a28,17,1,8,0,3,,0,""
06c9:6a28,0d6b8,06c9:6a30,8,1,3,0,2,,0,""
06c9:6a30,0d6c0,06c9:6a3b,11,1,4,1,5,,0,""
06c9:6a3b,0d6cb,06c9:6a4a,15,1,8,0,7,16,0,""
06c9:6a4a,0d6da,06c9:6a6a,32,1,11,2,3,,0,""
06c9:6a6a,0d6fa,06c9:6aa2,56,1,21,2,16,,0,""
06c9:6aa2,0d732,06c9:6b02,96,1,39,1,3,21,1,""
06c9:6b02,0d792,06c9:6b97,149,1,63,3,0,,1,""
06c9:6b97,0d827,06c9:6c6e,215,0,91,0,1,,1,""
06c9:6c6e,0d8fe,06c9:6d18,170,0,79,0,1,,1,""
06c9:6d18,0d9a8,06c9:6d50,56,1,21,4,7,,0,""
06c9:6d50,0d9e0,06c9:6e4d,253,1,100,7,2,,1,"%s INVALID PACK TYPE"
06c9:6e4e,0dade,06c9:6e58,10,0,7,0,2,,0,""
06c9:6e59,0dae9,06c9:6f1d,196,1,88,1,15,20,1,"locateshape - %-4.4s SHAPE OR SOUND NOT FOUND"
06c9:6f1e,0dbae,06c9:6f86,104,1,39,0,2,21,0,""
06c9:6f86,0dc16,06c9:6f93,13,1,5,1,1,,0,""
06c9:6f93,0dc23,06c9:6fb2,31,1,12,1,0,,0,""
06c9:6fd6,0dc66,06c9:6fe8,18,1,6,0,1,,0,""
06c9:6fe8,0dc78,06c9:7030,72,1,36,0,3,,1,"cars.dat"
06c9:7030,0dcc0,06c9:7083,83,1,44,0,5,,1,""
06c9:7083,0dd13,06c9:70a3,32,1,18,0,3,,0,""
06c9:70a3,0dd33,06c9:7147,164,1,60,2,4,,0,"reservememory - OUT OF MEMORY BLOCKS LOADING %s | reservememory - OUT OF MEMORY LOADING %s"
06c9:7147,0ddd7,06c9:71b4,109,1,44,1,1,,0,""
06c9:71b4,0de44,06c9:7273,191,1,71,3,3,,0,""
06c9:7273,0df03,06c9:72c6,83,1,39,1,3,,0,""
06c9:72c6,0df56,06c9:736b,165,1,60,2,4,,0,"memory manager - BLOCK NOT FOUND at SEG= %x"
06c9:736b,0dffb,06c9:7490,293,1,106,3,13,,0,"memory manager - BLOCK NOT FOUND at SEG= %x"
06c9:7490,0e120,06c9:74d4,68,1,27,1,3,,0,"memory manager - BLOCK NOT FOUND at SEG= %x"
06c9:74d4,0e164,06c9:7501,45,1,20,1,0,,0,"memory manager - BLOCK NOT FOUND at SEG= %x"
06c9:7501,0e191,06c9:7589,136,1,53,2,0,,0,"memory manager - BLOCK NOT FOUND at SEG= %x"
06c9:758a,0e21a,06c9:75c8,62,1,23,0,3,,0,""
06c9:75c8,0e258,06c9:75d9,17,1,8,0,1,,0,""
06c9:75d9,0e269,06c9:75ea,17,1,8,0,0,,0,""
06c9:75ea,0e27a,06c9:780d,547,1,187,0,0,,1,""
06c9:780e,0e49e,06c9:782b,29,1,11,0,6,,0,""
06c9:782c,0e4bc,06c9:7865,57,1,25,1,11,,1,""
06c9:7866,0e4f6,06c9:7873,13,0,7,0,1,,0,""
06c9:7874,0e504,06c9:78f8,132,1,51,1,1,21,1,""
06c9:78f8,0e588,06c9:7918,32,1,19,0,6,,1,""
06c9:7918,0e5a8,06c9:7934,28,1,17,0,6,,1,""
06c9:7946,0e5d6,06c9:7971,43,1,17,0,1,,0,""
06c9:7971,0e601,06c9:7977,6,1,2,0,1,,0,""
06c9:7977,0e607,06c9:798f,24,1,11,0,3,,0,""
06c9:799c,0e62c,06c9:79bb,31,1,13,0,0,,0,""
06c9:79c8,0e658,06c9:79d2,10,1,5,0,6,,0,""
06c9:79d2,0e662,06c9:79ea,24,1,12,0,0,,0,""
06c9:7a10,0e6a0,06c9:7a27,23,1,9,1,7,,0,""
06c9:7a27,0e6b7,06c9:7a3b,20,1,7,1,3,,0,""
06c9:7a3b,0e6cb,06c9:7a55,26,1,10,1,1,,0,""
06c9:7a55,0e6e5,06c9:7a81,44,1,17,1,3,,0,""
06c9:7a82,0e712,06c9:7a93,17,1,8,0,25,,0,""
06c9:7a93,0e723,06c9:7aa4,17,1,8,0,0,,0,""
06c9:7aa4,0e734,06c9:7abd,25,1,15,0,4,,0,""
06c9:7abd,0e74d,06c9:7ad6,25,1,15,0,4,,0,""
06c9:7c16,0e8a6,06c9:7d5e,328,1,139,0,0,,1,""
06c9:7d5e,0e9ee,06c9:7d7c,30,1,21,0,30,,1,""
06c9:7d7c,0ea0c,06c9:7d9c,32,0,13,0,8,,0,""
06c9:7d9c,0ea2c,06c9:7dbd,33,0,21,0,0,,0,""
06c9:7dbc,0ea4c,06c9:808a,718,1,319,0,2,,1,""
06c9:808a,0ed1a,06c9:80aa,32,0,13,0,3,,0,""
06c9:80aa,0ed3a,06c9:80ca,32,0,13,0,1,,0,""
06c9:80ca,0ed5a,06c9:82c7,509,1,208,0,3,,1,""
06c9:82d0,0ef60,06c9:839c,204,0,98,0,2,,0,""
06c9:840a,0f09a,06c9:843e,52,1,30,0,3,,0,""
06c9:843e,0f0ce,06c9:8579,315,1,129,0,22,,1,""
06c9:8582,0f212,06c9:89a2,1056,1,426,1,9,,1,""
06c9:89a2,0f632,06c9:8a0c,106,0,44,0,6,,0,""
06c9:8a0c,0f69c,06c9:8c77,619,1,288,0,16,,0,""
06c9:8cd8,0f968,06c9:8e67,399,1,141,0,1,,1,""
06c9:8f12,0fba2,06c9:90cd,443,1,150,1,1,,1,""
06c9:90e8,0fd78,06c9:9143,91,1,44,1,1,10,0,""
06c9:916c,0fdfc,06c9:91a3,55,0,21,0,5,,1,""
06c9:91a4,0fe34,06c9:91d5,49,0,19,0,5,,1,""
06c9:91d6,0fe66,06c9:9c2f,2649,1,1054,2,3,,1,"run-time error "
06c9:9c58,108e8,06c9:9c8f,55,0,21,0,1,,1,""
06c9:9c90,10920,06c9:9cc1,49,0,19,0,8,,1,""
06c9:9cc2,10952,06c9:a530,2158,1,858,2,22,,1,"run-time error "
06c9:a530,111c0,06c9:a546,22,0,10,0,10,,0,""
06c9:a547,111d7,06c9:a6d8,401,1,162,0,0,,0,""
06c9:a6d8,11368,06c9:a6f8,32,0,13,0,8,,0,""
06c9:a6f8,11388,06c9:a718,32,0,13,0,2,,0,""
06c9:a718,113a8,06c9:a9d1,697,1,285,0,4,,1,""
06c9:a9d2,11662,06c9:a9f2,32,0,13,0,2,,0,""
06c9:a9f2,11682,06c9:aa12,32,0,13,0,2,,0,""
06c9:aa12,116a2,06c9:abfa,488,1,201,0,3,,1,""
06c9:abfa,1188a,06c9:ac0c,18,1,10,0,1,10,0,""
06c9:ac1c,118ac,06c9:ac3f,35,0,15,0,0,,1,""
06c9:ac40,118d0,06c9:ac63,35,0,15,0,3,,1,""
06c9:ac64,118f4,06c9:ad1a,182,1,75,0,0,,1,""
06c9:ad22,119b2,06c9:ad8b,105,0,49,0,2,,0,""
06c9:ae62,11af2,06c9:af3a,216,1,102,0,1,,1,""
06c9:af54,11be4,06c9:b039,229,0,108,1,0,,0,""
06c9:b0fe,11d8e,06c9:ba3e,2368,1,1810,2,12,,1,"WINDOW | OUT OF ROW TABLE SPACE"
06c9:ba3c,126cc,06c9:bac7,139,1,63,0,2,,0,""
06c9:bac8,12758,06c9:bae8,32,0,13,0,3,,0,""
06c9:bae8,12778,06c9:bb09,33,0,17,0,0,,0,""
06c9:bb08,12798,06c9:c030,1320,1,549,0,0,,1,""
06c9:c030,12cc0,06c9:c131,257,0,107,0,1,,0,""
06c9:c132,12dc2,06c9:c152,32,0,13,0,1,,0,""
06c9:c152,12de2,06c9:c172,32,0,13,0,1,,0,""
06c9:c172,12e02,06c9:c63e,1228,1,516,0,2,,1,""
06c9:c63e,132ce,06c9:c65c,30,1,10,2,1,,0,""
06c9:c65c,132ec,06c9:c692,54,1,22,2,0,,0,""
06c9:c692,13322,06c9:c69c,10,1,5,0,4,,0,""
06c9:c69c,1332c,06c9:c6b3,23,1,9,1,1,,0,""
06c9:c6c5,13355,06c9:c6ef,42,1,16,1,2,,0,""
06c9:c6f0,13380,06c9:c701,17,1,9,0,0,,0,""
06c9:c701,13391,06c9:c760,95,1,44,0,1,,0,""
06c9:c760,133f0,06c9:c784,36,1,16,0,0,,0,""
06c9:c784,13414,06c9:c837,179,1,74,0,4,,1,""
06c9:c838,134c8,06c9:c951,281,1,90,1,1,,1,""
06c9:c958,135e8,06c9:c97b,35,1,15,1,1,,0,""
06c9:c984,13614,06c9:cd9f,1051,1,433,1,1,,1,""
13a3:0012,13a42,13a3:0038,38,1,20,0,1,,0,""
13a3:0038,13a68,13a3:004f,23,0,12,0,2,,0,""
13a8:002e,13aae,13a8:007e,80,0,39,2,4,,1,""
13a8:007e,13afe,13a8:015e,224,0,87,1,1,11,0,""
13a8:0163,13be3,13a8:03d4,625,1,272,0,1,,1,""
13a8:03d3,13e53,13a8:03ec,25,0,14,1,1,21,0,""
13a8:03ec,13e6c,13a8:03f8,12,0,8,0,1,,1,""
13a8:03f8,13e78,13a8:04be,198,0,73,7,0,20 21,1,""
13a8:04be,13f3e,13a8:0582,196,1,82,1,1,21,1,""
13a8:0582,14002,13a8:0599,23,0,9,1,2,,0,""
13a8:0599,14019,13a8:05e0,71,0,26,3,2,21,0,""
13a8:05e0,14060,13a8:060d,45,0,18,0,1,21,1,""
13a8:060d,1408d,13a8:0620,19,0,9,0,3,,0,""
13a8:0620,140a0,13a8:064a,42,1,16,1,2,,0,""
13a8:064a,140ca,13a8:066e,36,1,19,0,2,,0,""
13a8:066e,140ee,13a8:0694,38,1,17,2,1,,0,""
13a8:0694,14114,13a8:0826,402,0,203,0,1,,1,"cars.dat"
13a8:0826,142a6,13a8:088c,102,1,57,1,1,,1,""
13a8:088c,1430c,13a8:08b7,43,1,26,0,1,,0,""
13a8:08b7,14337,13a8:08e2,43,1,21,1,4,21,0,""
13a8:08e2,14362,13a8:0944,98,1,41,1,1,21,0,""
13a8:094a,143ca,13a8:0978,46,0,21,0,1,,0,""
