kind,address,name,type,owner,other_names,notes
func,0143:000a,showroom_intro,int (int),game_flow,,two showroom cars in the intro
func,0143:019e,showroom_tick,void (void),game_flow,,timer routine: showroom car speed/distance/window frame
func,0143:01e1,showroom_drive,"int (char *path, int x, int y, int anim, int reveal)",game_flow,,.SS window animation and drive-off
func,019e:0004,menu_random_key,int (void),game_flow,,attract-mode random key
func,019e:009b,car_slide,"far (int car, int from, int to, far old)",game_flow,,vertical slide of the car image (88 rows)
func,019e:027d,car_select,int (int car),game_flow,,car selection screen
func,019e:0527,scenery_select,void (void),game_flow,,scenery selection screen
func,019e:06c5,main_menu,int (void),game_flow,,GAMEOPT menu and dispatch; 1 = exit program
func,0267:0004,plural_s,char *(int n),game_flow,,'s' unless n == 1
func,0267:0017,results_line,"void (char *s, int x)",game_flow,,"draw at (x, DS:83D2) and advance 8"
func,0267:0039,stage_results,int (int kind),game_flow,,"kind 0 normal / 1 last stage / 99 game over; gas station, scoring, records, duel/section pages, police ending"
func,0267:118b,results_overall,void (void),game_flow,,Overall Performance lines
func,0267:1224,results_section_page,void (void),game_flow,,section header + player stage lines
func,0267:139b,difficulty_screen,int (void),game_flow,,GAMEDIFF 12-step scale
func,0267:15e4,run_game,int (int mode),game_flow,,stage loop around 06c9:1b2c
func,0432:0006,name_to_field,"void (char *dst, char *src)",game_flow,,trim + spaces to underscores
func,0432:0061,field_to_name,void (char *s),game_flow,,underscores to spaces; pad to 18
func,0432:00a9,cars_load,"int (int diskType, int flag)",game_flow,,append cars.dat records
func,0432:01b2,scenes_load,"int (int diskType, int flag)",game_flow,,append scenes.dat records
func,0432:02bf,select_load,int (int diskType),game_flow,,read select.dat (defaults F40 P959 TDS2)
func,0432:0376,select_save,void (int diskType),game_flow,,write select.dat
func,0432:040f,install_draw_drive,"void (int type, int y, int fg, int bg)",game_flow,,install menu; dropped
func,0432:0441,install_edit_drive,"void (int type, int y)",game_flow,,install menu; dropped
func,0432:04f1,copy_queued_files,int (void),game_flow,,install: copy up to 20 queued files; dropped
func,0432:0847,playdisk_create_file,int (char *name),game_flow,,install; dropped
func,0432:088f,playdisk_delete_file,void (char *name),game_flow,,install; dropped
func,0432:08f5,install_list_cars,void (...),game_flow,,install list drawing; guess; dropped
func,0432:0a2e,install_list_scenery,void (...),game_flow,,install list drawing; guess; dropped
func,0432:0b66,install_list_cursor,void (...),game_flow,,install list drawing; guess; dropped
func,0432:0c0e,make_play_disk,int (void),game_flow,,install; dropped
func,0432:0d35,copy_car_files,int (int idx),game_flow,,install; dropped
func,0432:0f71,copy_scenery_files,int (int idx),game_flow,,install; dropped
func,0432:11ae,delete_car_files,int (int idx),game_flow,,install; dropped
func,0432:1341,delete_scenery_files,int (int idx),game_flow,,install; dropped
func,0432:14db,copy_cars_menu,int (void),game_flow,,install; dropped
func,0432:19d8,copy_scenery_menu,int (void),game_flow,,install; dropped
func,0432:1d25,forget_play_disk,void (void),game_flow,,dropped
func,0432:1d44,catalog_reload,int (void),game_flow,,reload catalogue incl. extra CAR/SCENERY disks
func,0432:1ea4,install_menu,int (void),game_flow,,INSTALL MENU; jump table 0432:211a; dropped
func,0645:0000,hisc_load,int (void),game_flow,,read <scn>hisc.dat + checksum
func,0645:0186,hisc_save,void (void),game_flow,,write 0x154 bytes with checksum
func,0645:0271,name_entry_screen,int (void),game_flow,,qualified screen + text input
func,0645:0389,hisc_insert,int (void),game_flow,,insert total score into top 6
func,0645:0470,hisc_show,int (long timeout),game_flow,,top scores table
func,0645:06a8,hisc_check,int (void),game_flow,,insert if qualifying then show table 15 s
func,06b3:0008,steer_update,far void(void),simulation,,steering integration and self-centring (C)
func,06c9:0002,main_view_load,far void(void),scene_render,,"create main buffer 320x92 at (0,19); handles DS:0704, DS:080E"
func,06c9:0083,main_view_free,far void(void),scene_render,,free main buffer
func,06c9:0094,present_main_view,far void(void),scene_render,,"select screen, copy_own(main sprite)"
func,06c9:00aa,project_front,far void(void),scene_render,,front projection pipeline
func,06c9:00c9,dbg_present_and_wait,far void(void),scene_render,,unreferenced debug helper
func,06c9:00e7,draw_front,far void(void),scene_render,,front view into main buffer; fall scroll
func,06c9:0201,snapshot_front,far void(void),scene_render,,per-frame front state and traffic draw list
func,06c9:0338,project_front_rows,near void(void),scene_render,,60-row projection
func,06c9:05f8,build_spans_front,near void(void),scene_render,,per-scanline edge arrays
func,06c9:06c3,interp_span,"near (a,b,dst) CX=n DX=dy ret 6",scene_render,,Bresenham span interpolation; self-modifying step
func,06c9:0746,fix_cut_lines_front,near void(void),scene_render,,cliff/drop-off/tunnel cut fix-ups
func,06c9:088e,clamp_spans,near AX=first BP=end,scene_render,,"clamp 5 span arrays to [0,DS:5348]"
func,06c9:08cb,clamp_edge_front,near AX=x SI=row*2 -> AX,scene_render,,edge clamp against cut lines
func,06c9:0919,draw_sky_front,near void(void),scene_render,,"sky, tunnel mouth rectangles, mountains, clouds"
func,06c9:0b0d,draw_ground_front,near void(void),scene_render,,scanline ground fill
func,06c9:0bb8,draw_tunnel_walls_front,near void(void),scene_render,,tunnel wall lines
func,06c9:0c17,span_fill_to,near AX=end BX=colour DI=row,scene_render,,4-plane span fill; jumps to [DS:0702] when the row is full
func,06c9:0d01,hline,near DX=x0 AX=x1 DI=y BX=colour,scene_render,,draw_line if x0<x1
func,06c9:0d13,draw_front_objects,near void(void),scene_render,,"far-to-near markings, cliffs, tunnels, road objects, scenery, text signs, poles, cars"
func,06c9:1ad6,tunnel_rib_front,near SI=row*2,scene_render,,white tunnel frame lines
func,06c9:1b2c,run_stage,far int(void),scene_render,,stage runner and frame loop; returns (s8)DS:5490
func,06c9:1c8f,stage_load,far void(void),scene_render,,"stage variables, handle tables, cockpit, sim init"
func,06c9:1e31,life_reset,far void(void),scene_render,,per-life reset
func,06c9:1e59,prepare_traffic_lists,far void(void),scene_render,,DAT traffic lists to road pointers; density thinning
func,06c9:1ee2,mirror_load,far void(void),scene_render,,"create mirror buffer 80x17 at (240,8); handles DS:27BE, DS:28C8"
func,06c9:1f60,mirror_free,far void(void),scene_render,,free mirror buffer
func,06c9:1f71,project_mirror,far void(void),scene_render,,mirror projection pipeline
func,06c9:1f90,dbg_wait_key,far void(void),scene_render,,unreferenced
func,06c9:1f99,draw_mirror,far void(void),scene_render,,mirror view; composite into main buffer
func,06c9:2089,snapshot_mirror,far void(void),scene_render,,per-frame mirror state
func,06c9:21c3,project_mirror_rows,near void(void),scene_render,,25-row projection behind the car
func,06c9:2477,build_spans_mirror,near void(void),scene_render,,mirror spans
func,06c9:2542,fix_cut_lines_mirror,near void(void),scene_render,,mirror cut fix-ups
func,06c9:268a,clamp_edge_mirror,near AX=x SI=row*2 -> AX,scene_render,,mirror edge clamp
func,06c9:26d8,draw_sky_mirror,near void(void),scene_render,,mirror sky and mountains
func,06c9:284f,draw_ground_mirror,near void(void),scene_render,,mirror ground fill
func,06c9:28f9,draw_tunnel_walls_mirror,near void(void),scene_render,,mirror tunnel walls
func,06c9:2958,draw_mirror_objects,near void(void),scene_render,,"mirror objects, then composite"
func,06c9:34dc,tunnel_rib_mirror,near SI=row*2,scene_render,,mirror tunnel frame lines
func,06c9:3532,crash_sequence,far void(void),scene_render,,"hood damage, 7 crack steps, palette flash"
func,06c9:362f,message_wait_tail,far tail,scene_render,,delay 30 then wait_after_message
func,06c9:3643,engine_smoke_sequence,far void(void),scene_render,,10-step smoke animation
func,06c9:36e0,msg_missed_gas,far void(void),scene_render,,You missed the gas station
func,06c9:3713,msg_too_far_left,far void(void),scene_render,,Too far left to reach pump.
func,06c9:371f,msg_engine_dead,far void(void),scene_render,,Engine has lost all power...
func,06c9:372b,msg_suspension_dead,far void(void),scene_render,,Suspension completely gone...
func,06c9:3737,msg_steering_dead,far void(void),scene_render,,Steering completely shot...
func,06c9:3743,msg_too_much_damage,far void(void),scene_render,,Car took too much damage...
func,06c9:374f,msg_fill_er_up,far void(void),scene_render,,Fill 'er up... unless last stage
func,06c9:375f,msg_lives_left,far void(void),scene_render,,Lives left / last life
func,06c9:3788,message_box,near void(void),scene_render,,black box with frame
func,06c9:37d0,cockpit_load,far void(void),scene_render,,"dash handles, inst/gbox buffers, dash+roof, progress line"
func,06c9:38d4,cockpit_free,far void(void),scene_render,,free inst and gbox buffers
func,06c9:38f2,cockpit_reset,far void(void),scene_render,,per-life cockpit state
func,06c9:391f,draw_hud,far void(void),scene_render,,"mirror mask, ticket, radar, progress dots, distance/time"
func,06c9:3a5f,draw_radar_detector,near void(void),scene_render,,radar sprite
func,06c9:3a91,draw_progress_dots,near void(void),scene_render,,3 dots on screen row 0
func,06c9:3ab8,progress_dot,near SI=pos BX=slot*2 DX=colour,scene_render,,move one dot
func,06c9:3af9,draw_ticket,near void(void),scene_render,,ticket sprite and amount
func,06c9:3b95,draw_gear_gate,far void(void),scene_render,,gear gate and knob
func,06c9:3c3a,draw_steering,far void(void),scene_render,,wheel pose and marker
func,06c9:3cef,draw_instruments,far void(void),scene_render,,needles/bars/digits
func,06c9:3ea4,draw_number3,near AX=value SI=slot*2,scene_render,,3-digit number
func,06c9:3ed7,draw_inst_digit,near AL=digit SI=slot*2,scene_render,,one instrument digit
func,06c9:3efc,select_main_view,far void(void),scene_render,,select_target(DS:09B2)
func,06c9:3f0d,wait_after_message,far void(void),scene_render,,"drain keys, delay, wait key or 1800 ticks"
func,06c9:3f40,sim_stage_init,far void(void),scene_render,sim_stage_start,see simulation spec | stage reset; look-ahead flag checksum; end fix-up; registers 06c9:6269 and 06c9:403b in the timer list
func,06c9:3ff9,sim_life_reset,far void(void),scene_render,sim_restart_reset,see simulation spec | per-life reset; calls 5427
func,06c9:403b,sim_timer_routine,far void(void) sets DS,simulation,,100 Hz timer-list routine; 10 Hz sim tick; 1 Hz clock
func,06c9:412c,sound_tick,near,simulation,drive_sound_update,every tick: rpm slew; DS:5F2E slots 0x55/0x56/0x58 (simulation spec) | rpm needle slew; engine/rumble/effect tone divisors DS:5FD8-5FDE
func,06c9:420a,read_input,near,simulation,,controls; idle quit; hotkeys
func,06c9:4281,decode_controls,near,simulation,,demo autopilot; automatic transmission; steer/throttle; gear selection
func,06c9:43c3,shift_knob_anim,near,simulation,,knob animation 6 px/tick; shift completion
func,06c9:4441,clutch_check,"near (CX old rpm, DX new rpm)",simulation,,downshift lurch -5 mph; grind tone
func,06c9:448a,curve_sum,near,simulation,,sum of last 8 curve bytes -> DS:30E4; speed -> DS:30E6
func,06c9:44a6,hotkeys,near (AX key),simulation,,Esc/o/O/d/D via DS:33D6 and DS:33DC
func,06c9:44bf,key_esc,near,simulation,,run_state = 0xFF
func,06c9:44c5,key_gate_mode,near,simulation,,gate_mode ^= 1 unless automatic
func,06c9:44d2,key_dash_toggle,near,simulation,,DS:2F58 ^= 1
func,06c9:44d8,brake_1600,near,simulation,,speed -= 1600
func,06c9:44de,brake_800,near,simulation,,speed -= 800 (skid)
func,06c9:44e4,brake_400,near,simulation,,speed -= 400 (broken gear)
func,06c9:44ea,engine,near,simulation,,throttle; brake; clutch; torque
func,06c9:4588,free_rev,near,simulation,,rpm -200 down to 800; or +600 in neutral with throttle
func,06c9:45bf,drag_apply,near (DX force),simulation,,speed += force - drag
func,06c9:45fc,brake,near (DX amount),simulation,,speed -= DX floor 0; update_rpm
func,06c9:4612,update_rpm,"near -> CX old, DX new",simulation,,rpm = ratio*speed>>16 min 800; nothing in neutral
func,06c9:4639,overrev_check,near,simulation,,30 ticks at redline or above max -> run_state 3
func,06c9:4674,motion,near,simulation,,"pull-over; sub-unit step; unit loop (spawn, fuel, grip, yaw, collisions, objects)"
func,06c9:4929,obj_station_zone,near,simulation,,object 0x0A
func,06c9:4947,obj_past_station,near,simulation,,object 0x0C
func,06c9:494d,obj_parked_cop,near (BP pos),simulation,,object 0x15
func,06c9:495d,obj_roadblock,near (BP pos),simulation,,object 0x16
func,06c9:499a,obj_place_roadside,near (BX code*2),simulation,,objects 0x1C-0x2F; writes through SS
func,06c9:49c9,obj_toggle_37f7,near,simulation,,object 0x17
func,06c9:49cf,obj_toggle_median,near,simulation,,object 0x18
func,06c9:49d5,obj_toggle_37f8,near,simulation,,object 0x19
func,06c9:49db,obj_density_up,near,simulation,,object 0x1A
func,06c9:49e1,obj_density_down,near,simulation,,object 0x1B
func,06c9:49e7,obj_sign_posts,near,simulation,,objects 0x01-0x09
func,06c9:4a18,obj_none,near,simulation,,objects 0x00 and 0x0B
func,06c9:4a19,obj_lane_obstacle,near (BX code*2),simulation,,objects 0x0D-0x14
func,06c9:4a2e,hit_object,near,simulation,,speed -1600; bump sound; random damage
func,06c9:4afa,car_edges,near,simulation,,car edges; station and out-of-gas stop checks
func,06c9:4b5d,median_posts,near,simulation,,posts every 16 units
func,06c9:4b9a,road_edges,near,simulation,,walls; drop-offs; shoulder; right-side zones
func,06c9:4c85,roadside_hit,near,simulation,,scenery and billboard collision
func,06c9:4d26,overlap,"near (AX centre, BX half) -> ZF",simulation,,lateral overlap with the car
func,06c9:4d3f,traffic,near,simulation,,moves traffic lists; meet/push checks
func,06c9:4f92,meet_check,"near (SI,BP,CX,DX:AX,DI) -> ZF hit",simulation,,reaching the next car of a list
func,06c9:5022,push_behind,"near (SI,DX:AX,DI)",simulation,,keeps same-direction cars behind a driver
func,06c9:50a1,opponent_ai,near,simulation,,computer opponent
func,06c9:5299,ai_road_scan,"near (BX pos, DI factor) -> BL",simulation,,lane availability; curve speed limit
func,06c9:52fd,ai_gap,"near (DX,CX,AX,BX) -> AX",simulation,,time-to-reach score; 100 = free
func,06c9:5334,ai_lane_min,"near (AX gap, BX x)",simulation,,minimum gap per lane
func,06c9:535b,ai_pick_lane,"near (AX x) -> CX target, DX gap",simulation,,lane choice
func,06c9:53a6,police,near,simulation,,radar trap and chase dispatch
func,06c9:5427,police_reset,near,simulation,,removes the police car
func,06c9:5446,police_start,near,simulation,,police car appears 26 units behind the player
func,06c9:54f4,police_chase_opp,label,simulation,,states DS:33B6 via DS:3456
func,06c9:557a,police_chase_player,label,simulation,,states DS:33B7 via DS:3446
func,06c9:56ed,police_drive,near,simulation,,police movement; may pop the caller return address
func,06c9:5880,demo_steer,near,simulation,,demo autopilot lane and brake
func,06c9:595f,pass_collisions,near,simulation,,player/opponent/police crossings
func,06c9:5a25,pass_check,"near (SI,DI,BX,DX) -> CX, CF",simulation,,sign change with lateral overlap
func,06c9:5a6f,fall_anim,near,simulation,,falling and sinking
func,06c9:5ada,traffic_resync,far void(void),simulation,,clears traffic around the player; finds list indices
func,06c9:5b5a,resync_list,near,simulation,,pushes cars out of the window
func,06c9:5c30,nearest_ahead,"near (SI,CX,DX:AX) -> SI",simulation,,nearest car ahead
func,06c9:5c5a,at_finish,"near (BX,DI,SI) -> AL",simulation,,braking distance to the finish
func,06c9:5c98,select_screen,far void(void),scene_render,,platform: select_target(CS:AF54)
func,06c9:5ca6,create_buffer_like,"far (far sprite) -> DX:AX desc, CX:BX sprite",scene_render,,platform
func,06c9:5d00,gfx_video_hook,void(void),platform,,empty retf in EGA/Tandy; CGA build restores 3D8h/3D9h
func,06c9:5d01,far_memcpy,"void(u16 soff,u16 sseg,u16 doff,u16 dseg,u16 n)",platform,,rep movsb between far buffers
func,06c9:5d1e,wait_key_paused,void(void),platform,,pause flag around getkey_wait; no direct callers
func,06c9:5d2e,make_tick_id,char*(void),platform,,int 1Ah tick count -> 4 bytes at DS:52C2
func,06c9:5d4e,dos_num_drives,int(void),platform,,AH=19h then AH=0Eh; returns logical drive count
func,06c9:5d5b,set_file_hidden,int(char*name),platform,,AX=4301h CX=2; 1=error 0=ok
func,06c9:5d74,bios_floppy_count,int(void),platform,,int 11h floppy count; minimum 2
func,06c9:5d83,bios_ticks,u16(void),platform,,word 0040:006C
func,06c9:5d8d,bios_ticks_since,u16(u16 t0),platform,,0040:006C - t0
func,06c9:5d9e,gfx_set_clip,"void(far Desc*,s16 x0,s16 x1,s16 y0,s16 y1)",platform,,descriptor clip + live copy if current
func,06c9:5dfb,gfx_set_clip_current,"void(s16 x0,s16 x1,s16 y0,s16 y1)",platform,,live copy CS:AF46..AF4C only
func,06c9:5e1c,file_paras,u16(char*name),platform,,file size in paragraphs rounded up; fatal %s FILE ERROR
func,06c9:5e8a,unpacked_paras,u16(char*name),platform,,u24 at file+1 in paragraphs rounded up
func,06c9:5ef4,find_first,char*(char*spec),platform,,AH=4Eh attr 6 DTA DS:5DEE; returns DS:5D88 or 0
func,06c9:5f4e,find_next,char*(void),platform,,AH=4Fh; returns DS:5D88 or 0
func,06c9:5f64,herc_init,void(void),platform,,Hercules graphics page 1; DS:5E6E=1
func,06c9:5fbc,video_shutdown,void(void),platform,,EGA: gfx_shutdown; Hercules: text mode 7
func,06c9:601c,timer_install_drive,void far(void),platform,,div 0x2E9C; chain reload 5; BIOS chain countdown 100
func,06c9:603c,timer_install_menu,void far(void),platform,,div 0x2E9C; chain forever; no callers
func,06c9:6059,timer_install_div,void far(int div),platform,,reload 0x10000/div; chain forever; called with 0x2E9C
func,06c9:607a,timer_install_div_countdown,void far(int div),platform,,reload 0x10000/div; countdown 100; no callers
func,06c9:6099,timer_install_common,tail(DX=div),platform,,clear routine list; speaker off; hook INT 8; PIT ch0
func,06c9:610a,timer_restore,void far(void),platform,,unhook INT 8; PIT ch0 65536; speaker off
func,06c9:614c,timer_add_routine,void far(farfn fn),platform,,5-slot list DS:5F12; fatal when full
func,06c9:6180,timer_remove_routine,void far(farfn fn),platform,,remove and shift list
func,06c9:61bf,timer_isr,interrupt,platform,,99.9985 Hz tick; counters; BIOS chain; routine list
func,06c9:6230,timer_bios_chain,near,platform,,countdown then call old INT 8
func,06c9:6269,sfx_tick,void far(void),platform,,timer routine: effect/engine byte-code stream player (driving)
func,06c9:642e,gfx_shutdown,void(void),platform,,clear screen; INT 10h mode 3; border 0
func,06c9:645a,hotkey_joystick_on,void far(void),platform,,Ctrl-J: DS:6CFC=1; paused joystick calibration
func,06c9:646f,hotkey_keyboard_on,void far(void),platform,,Ctrl-K: DS:6CFC=0; KEYBOARD ON
func,06c9:6488,hotkey_sound_toggle,void far(void),platform,,Ctrl-S: toggle DS:5EFB bit0
func,06c9:64c7,hotkey_music_toggle,void far(void),platform,,Ctrl-Q: toggle DS:5EFB bit1
func,06c9:6508,hotkey_pause,void far(void),platform,,Ctrl-P: paused 16fc:0358
func,06c9:6518,hotkey_exit,void far(void),platform,,Ctrl-X: paused 16fc:007c
func,06c9:6528,kbd_dispatch,int far(int key),platform,,handler tables DS:6048/DS:6148; 0 if handled
func,06c9:6585,hotkey_set,void far(int key; u16 off),platform,,DS:6048[key]=handler (seg 06c9)
func,06c9:65c5,getkey_menu,int far(void),platform,,INT16 key via kbd_dispatch else joystick code
func,06c9:6601,getkey_drive,u16(void),platform,,typed key for sim; peek only if SS!=DS
func,06c9:6620,input_drive_bits,u16(void),platform,,held keys -> joystick bits else joy_read
func,06c9:6686,joy_read,u16(void),platform,,port 201h + adaptive calibration (TD1 0xA12F)
func,06c9:680a,joy_calib_reset,void(void),platform,,joy on; xmin=ymin=0x50 xmax=ymax=0
func,06c9:6828,joy_dir_index,u16(u16 bits),platform,,DS:629E[bits&15] -> 0..8
func,06c9:6839,joy_analog_x,s16(void),platform,,dead; no function header
func,06c9:684c,joy_analog_y,s16(void),platform,,dead; no function header
func,06c9:6860,kbd_install,void(void),platform,,hook INT 9 and INT 16h
func,06c9:68c4,kbd_restore,void(void),platform,,unhook INT 9 and INT 16h
func,06c9:6907,kbd_int9_isr,interrupt,platform,,key-down table + translated one-key buffer
func,06c9:69b7,kbd_int16_isr,interrupt,platform,,AH=0 read/clear (non-blocking) AH=1 peek AH=2 shift
func,06c9:69f2,key_is_down,u8(u16 scan),platform,,dead
func,06c9:69fe,getkey,int far(void),platform,,call far [DS:64DC]
func,06c9:6a03,getkey_raw,u16(void),platform,,keyboard only; no hotkeys
func,06c9:6a17,kbd_set_getkey_fn,void far(farfn),platform,,DS:64DC
func,06c9:6a28,kbd_get_getkey_fn,farfn far(void),platform,,DS:64DC
func,06c9:6a30,getkey_wait,int far(void),platform,,blocking getkey
func,06c9:6a3b,kbd_flush,int far(void),platform,,drain INT16 buffer; returns 0
func,06c9:6a4a,getkey_until_deadline,int far(void),platform,,key or 0 when ticks >= DS:6818
func,06c9:6a6a,getkey_timeout,int far(long n),platform,,key or 0 after n ticks
func,06c9:6aa2,load_file_at,"farptr(char*name,u16 off,u16 seg)",platform,,reads whole file in 0x4000 chunks; fatal %s FILE ERROR
func,06c9:6b02,rle_decode,"farptr(u16 in_off,u16 in_seg,u16 out_off,u16 out_seg,u16 total_paras)",platform,,RLE pass (type 1); returns out_seg:0000
func,06c9:6b97,rle_run_pass,near (frame of 6b02),platform,,RLE run pass; stops after u32 count input bytes
func,06c9:6c6e,rle_seq_pass,near (frame of 6b02),platform,,RLE sequence pass; returns output length
func,06c9:6d18,load_raw,u8 far * far(char *name),platform,,raw file into cached block seg:0 (resource spec)
func,06c9:6d50,unpack_file,farptr(char*name),platform,,cache check reserve load and decode 1..k passes; INVALID PACK TYPE
func,06c9:6e4e,res_find_opt,"farptr(farptr arc,char*name4)",platform,,locateshape variant returning 0:0 if missing
func,06c9:6e59,res_find,"farptr(farptr arc,char*name4)",platform,,locateshape; normalized far ptr; fatal if missing
func,06c9:6f1e,mem_init,void(u16 top_seg),platform,,DOS heap block (first call) and clear all memory records
func,06c9:6f86,mem_init_default,void(void),platform,,mem_init(0xA000)
func,06c9:6f93,mem_init_reserve,void(u16 paras),platform,,mem_init(0xA000) then lower heap top; no callers
func,06c9:6fb2,mem_gap,u16(void),platform,,cache start minus low-stack end; no callers
func,06c9:6fc4,mem_low_used,u16(void),platform,,low-stack end minus heap base; no callers
func,06c9:6fd6,mem_free_total,u16(void),platform,,heap top minus low-stack end
func,06c9:6fe8,far_copy_down,"void(u16 src_seg,u16 dst_seg,u16 paras)",platform,,forward paragraph copy
func,06c9:7030,far_move_up,"void(u16 src_seg,u16 dst_seg,u16 paras)",platform,,backward paragraph copy (memmove dst>src)
func,06c9:7083,path_basename,char*(char*path),platform,,pointer after last colon or backslash
func,06c9:70a3,mem_reserve,"farptr(char*name,u16 paras)",platform,,reservememory: push block on low stack evicting cache
func,06c9:7147,cache_compact,void(void),platform,,pack kept cache blocks against heap top
func,06c9:71b4,mem_reclaim_cached,farptr(char*name),platform,,move cached block back to low stack or return 0:0
func,06c9:7273,mem_is_cached,int(char*name),platform,,1 if name is in the cache region
func,06c9:72c6,mem_release_cache_old,farptr(farptr blk),platform,,free block and cache it at the bottom of the cache
func,06c9:736b,mem_release_cache,farptr(farptr blk),platform,,free block and cache it at the top of the cache
func,06c9:7490,mem_free,void(farptr blk),platform,,free low-stack block; BLOCK NOT FOUND
func,06c9:74d4,mem_size,u16(farptr blk),platform,,block size in paragraphs; no callers
func,06c9:7501,mem_slide_down,farptr(farptr blk),platform,,move block down onto previous in-use block; no callers
func,06c9:758a,music_play,void far(u8 far *songs; int n),platform,,start SONGS.BIN song n if DS:5EFB==3
func,06c9:75c8,music_set_voices,void far(u8 far *voices),platform,,DS:65F7 seg / DS:65F9 off
func,06c9:75d9,music_set_6625,void far(u16 w6627; u16 w6625),platform,,write-only globals; no callers
